['10/27/2014', '9:12:13 AM', '-1.000130E+2', '-4.369677E-4', '2.288611E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.173918', '25.140804', '24.014940', '25.104012', '26.719223', '29.787760', '29.305769', '29.894459']
['10/27/2014', '9:13:13 AM', '-1.000127E+2', '-4.404749E-4', '2.270371E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.165890', '25.375608', '24.113607', '25.088623', '26.762705', '29.805483', '29.386044', '29.978411']
['10/27/2014', '9:14:13 AM', '-1.000128E+2', '-4.416198E-4', '2.264085E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.181631', '25.777676', '24.261805', '25.590031', '26.936657', '30.023357', '29.571033', '30.129013']
['10/27/2014', '9:15:13 AM', '-1.000126E+2', '-4.401089E-4', '2.270843E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.164988', '25.249611', '24.123747', '25.017817', '26.691898', '29.591185', '29.215895', '29.727320']
['10/27/2014', '9:16:13 AM', '-1.000128E+2', '-4.367124E-4', '2.290296E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.153395', '25.620667', '24.266684', '25.263773', '26.544168', '29.792990', '29.425060', '30.002684']
['10/27/2014', '9:16:23 AM', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.156347', '25.505878', '24.137180', '25.402859', '26.661179', '29.714998', '29.273483', '29.965191']
['10/27/2014', '9:16:33 AM', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.140734', '25.321020', '24.044302', '25.166489', '26.601414', '29.427116', '29.070225', '29.717783']
['10/27/2014', '9:16:43 AM', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.158598', '25.327845', '24.043770', '25.165955', '26.575129', '29.971123', '29.540642', '30.015123']
['10/27/2014', '9:16:50 AM', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.139645', '25.268421', '24.094723', '25.205872', '26.604008', '29.724052', '29.231026', '29.819714']
['10/27/2014', '9:16:51 AM', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.139645', '25.268421', '24.094723', '25.205872', '26.604008', '29.724052', '29.231026', '29.819714']
